district;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Slovak Republic;4.39;4.06;3.86;2.71;3.89;3.90;3.14;4.65;4.51;4.00;3.56;5.18;4.33;3.74;5.01;3.83;4.49;6.04;5.08;6.43;4.86
Region of Bratislava;4.33;3.69;4.18;2.64;3.72;3.47;3.07;4.48;4.16;3.82;3.01;5.30;4.37;4.10;5.13;3.23;4.50;5.59;4.73;6.23;3.43
District of Bratislava I-V;4.92;4.11;5.23;3.17;4.15;3.69;3.64;4.67;4.43;4.85;2.80;5.94;4.99;5.21;5.67;3.62;4.16;6.43;5.17;6.63;3.32
District of Malacky;3.15;3.24;2.43;1.83;3.18;2.79;2.15;3.51;3.36;2.32;2.49;4.45;3.22;2.69;4.36;2.78;4.00;4.24;3.51;4.82;3.19
District of Pezinok;4.58;3.62;4.19;2.42;3.97;3.75;2.82;4.87;4.02;3.62;3.31;4.98;4.21;3.70;4.97;3.12;4.52;5.45;5.41;6.42;4.15
District of Senec;5.06;3.97;5.19;3.13;3.95;3.90;3.75;5.09;4.75;4.57;3.32;5.73;4.95;4.66;5.55;3.44;5.02;6.36;5.20;6.97;3.37
West Slovakia;5.09;4.65;4.63;3.13;4.47;4.45;3.56;5.24;5.19;4.50;3.87;5.80;4.78;4.25;5.63;3.96;4.94;6.61;5.45;6.23;5.00
Region of Trnava;5.27;4.61;5.00;3.27;4.57;4.51;3.94;5.31;5.29;4.55;3.82;5.99;5.01;4.49;5.83;3.92;5.14;6.35;5.63;7.15;4.51
District of Dunajská Streda;5.87;5.43;5.75;3.72;4.97;4.96;4.54;5.59;5.65;5.06;3.75;6.21;5.36;4.52;5.91;4.24;5.25;6.72;5.93;7.40;5.02
District of Galanta;5.17;4.46;4.89;3.18;4.51;4.20;3.80;5.18;5.40;4.49;3.56;5.72;4.78;4.12;5.70;3.36;4.92;6.05;5.53;7.17;4.48
District of Hlohovec;4.98;4.40;4.98;3.02;4.68;4.20;3.26;5.11;4.94;4.71;4.11;5.83;4.63;4.67;5.92;3.48;5.39;6.78;5.54;6.74;3.94
