district;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Slovak Republic;15.52;14.33;14.33;15.47;12.35;18.59;15.27;15.76;15.77;14.31;16.19;17.19;18.60;11.45;20.94;18.54;18.32;19.64;17.93;21.46;20.09
Region of Bratislava;26.95;17.80;21.78;17.44;18.57;23.81;21.86;27.87;27.72;27.56;25.05;29.66;30.12;25.27;32.12;28.91;31.02;32.19;28.94;37.27;42.18
District of Bratislava I-V;25.04;13.80;16.43;8.39;10.40;5.08;15.63;13.97;13.92;17.52;17.84;18.75;20.00;16.59;14.17;13.38;16.29;6.09;7.97;4.00;19.52
District of Malacky;25.82;18.52;22.81;12.06;22.18;24.29;15.12;28.01;25.20;21.44;23.39;23.91;17.97;13.12;29.64;34.74;30.23;35.15;31.33;29.95;30.08
District of Pezinok;29.82;16.89;20.66;14.26;9.55;4.51;2.03;28.81;26.00;4.20;23.51;4.30;18.89;0.65;32.20;20.82;30.00;30.00;30.00;21.00;18.70
District of Senec;28.56;17.65;22.28;20.02;17.82;24.95;26.34;28.20;28.92;29.95;25.51;30.54;31.11;26.44;14.17;28.61;31.15;31.83;28.58;38.37;43.78
West Slovakia;15.99;14.50;17.95;13.48;14.79;19.86;15.48;19.48;20.77;17.75;16.56;21.64;21.79;14.15;23.87;19.61;22.34;24.25;23.98;26.72;17.91
Region of Trnava;16.31;11.39;17.02;15.52;17.72;22.71;19.52;21.78;26.15;19.30;16.93;26.21;24.45;15.73;27.15;20.68;28.84;30.05;30.43;33.24;20.97
District of Dunajská Streda;17.36;17.18;18.14;15.59;15.32;14.89;16.11;18.74;18.60;17.17;12.53;18.24;19.63;17.04;16.96;19.44;24.92;26.83;26.67;21.29;17.23
District of Galanta;15.56;7.17;14.45;17.72;16.65;25.46;23.49;23.69;26.49;17.92;13.91;27.77;24.10;20.13;22.95;19.12;18.19;25.84;34.48;46.30;40.90
District of Hlohovec;15.10;5.37;14.62;12.22;11.01;19.96;5.58;21.25;34.37;16.92;7.92;30.66;32.38;20.22;41.98;51.69;63.52;70.29;57.49;32.70;22.68
District of Piešťany;18.20;15.71;20.52;16.37;20.30;17.48;16.60;20.99;26.17;22.88;23.94;28.31;32.87;24.00;36.54;26.97;18.44;55.45;16.24;17.90;8.12
