2019-04-18 17:44.30 START predict_per_district     region=Region(district_name='Malacky', region_name='Bratislavský', area=949564634.0, geometry=<ee.geometry.Geometry object at 0x11e993a20>)
2019-04-18 17:44.30 START predict_per_district     region=Region(district_name='Pezinok', region_name='Bratislavský', area=375539629.0, geometry=<ee.geometry.Geometry object at 0x11e993a90>)
2019-04-18 17:44.30 START predict_per_district     region=Region(district_name='Senec', region_name='Bratislavský', area=359883925.0, geometry=<ee.geometry.Geometry object at 0x11e993b70>)
2019-04-18 17:44.30 START predict_per_district     region=Region(district_name='Dunajská Streda', region_name='Trnavský', area=1074589421.0, geometry=<ee.geometry.Geometry object at 0x11e95b2b0>)
2019-04-18 17:44.30 START predict_per_district     region=Region(district_name='Galanta', region_name='Trnavský', area=641715625.0, geometry=<ee.geometry.Geometry object at 0x11e950dd8>)
2019-04-18 17:44.30 START predict_per_district     region=Region(district_name='Hlohovec', region_name='Trnavský', area=267226972.0, geometry=<ee.geometry.Geometry object at 0x11284a748>)
2019-04-18 17:44.30 START predict_per_district     region=Region(district_name='Piešťany', region_name='Trnavský', area=381115771.0, geometry=<ee.geometry.Geometry object at 0x1128395c0>)
2019-04-18 17:44.31 START predict_per_district     region=Region(district_name='Senica', region_name='Trnavský', area=683257517.0, geometry=<ee.geometry.Geometry object at 0x1128398d0>)
2019-04-18 17:44.31 START predict_per_district     region=Region(district_name='Skalica', region_name='Trnavský', area=357081962.0, geometry=<ee.geometry.Geometry object at 0x1061dc518>)
2019-04-18 17:44.31 START predict_per_district     region=Region(district_name='Trnava', region_name='Trnavský', area=741316337.0, geometry=<ee.geometry.Geometry object at 0x11225f2e8>)
2019-04-18 17:44.31 START predict_per_district     region=Region(district_name='Bánovce nad Bebravou', region_name='Trenčiansky', area=461939077.0, geometry=<ee.geometry.Geometry object at 0x11225f8d0>)
2019-04-18 17:44.31 START predict_per_district     region=Region(district_name='Ilava', region_name='Trenčiansky', area=358500865.0, geometry=<ee.geometry.Geometry object at 0x11225f9b0>)
2019-04-18 17:44.31 START predict_per_district     region=Region(district_name='Myjava', region_name='Trenčiansky', area=327421905.0, geometry=<ee.geometry.Geometry object at 0x11225f160>)
2019-04-18 17:44.31 START predict_per_district     region=Region(district_name='Nové Mesto nad Váhom', region_name='Trenčiansky', area=579985077.0, geometry=<ee.geometry.Geometry object at 0x11225f438>)
