2019-04-18 16:59.53 START predict_per_district     region=Region(district_name='Malacky', region_name='Bratislavský', area=949564634.0, geometry=<ee.geometry.Geometry object at 0x11c2088d0>)
2019-04-18 17:00.36 STOP predict_per_district      region=Region(district_name='Malacky', region_name='Bratislavský', area=949564634.0, geometry=<ee.geometry.Geometry object at 0x11c2088d0>)
2019-04-18 17:00.36 START predict_per_district     region=Region(district_name='Pezinok', region_name='Bratislavský', area=375539629.0, geometry=<ee.geometry.Geometry object at 0x11c208978>)
2019-04-18 17:00.56 STOP predict_per_district      region=Region(district_name='Pezinok', region_name='Bratislavský', area=375539629.0, geometry=<ee.geometry.Geometry object at 0x11c208978>)
2019-04-18 17:00.56 START predict_per_district     region=Region(district_name='Senec', region_name='Bratislavský', area=359883925.0, geometry=<ee.geometry.Geometry object at 0x11c208a58>)
2019-04-18 17:01.23 STOP predict_per_district      region=Region(district_name='Senec', region_name='Bratislavský', area=359883925.0, geometry=<ee.geometry.Geometry object at 0x11c208a58>)
2019-04-18 17:01.23 START predict_per_district     region=Region(district_name='Dunajská Streda', region_name='Trnavský', area=1074589421.0, geometry=<ee.geometry.Geometry object at 0x11c1ae240>)
2019-04-18 17:01.59 STOP predict_per_district      region=Region(district_name='Dunajská Streda', region_name='Trnavský', area=1074589421.0, geometry=<ee.geometry.Geometry object at 0x11c1ae240>)
2019-04-18 17:01.59 START predict_per_district     region=Region(district_name='Galanta', region_name='Trnavský', area=641715625.0, geometry=<ee.geometry.Geometry object at 0x11c1a3cc0>)
2019-04-18 17:02.26 STOP predict_per_district      region=Region(district_name='Galanta', region_name='Trnavský', area=641715625.0, geometry=<ee.geometry.Geometry object at 0x11c1a3cc0>)
2019-04-18 17:02.26 START predict_per_district     region=Region(district_name='Hlohovec', region_name='Trnavský', area=267226972.0, geometry=<ee.geometry.Geometry object at 0x1100847b8>)
2019-04-18 17:02.43 STOP predict_per_district      region=Region(district_name='Hlohovec', region_name='Trnavský', area=267226972.0, geometry=<ee.geometry.Geometry object at 0x1100847b8>)
2019-04-18 17:02.43 START predict_per_district     region=Region(district_name='Piešťany', region_name='Trnavský', area=381115771.0, geometry=<ee.geometry.Geometry object at 0x110076358>)
2019-04-18 17:03.00 STOP predict_per_district      region=Region(district_name='Piešťany', region_name='Trnavský', area=381115771.0, geometry=<ee.geometry.Geometry object at 0x110076358>)
2019-04-18 17:03.00 START predict_per_district     region=Region(district_name='Senica', region_name='Trnavský', area=683257517.0, geometry=<ee.geometry.Geometry object at 0x110076748>)
2019-04-18 17:03.29 STOP predict_per_district      region=Region(district_name='Senica', region_name='Trnavský', area=683257517.0, geometry=<ee.geometry.Geometry object at 0x110076748>)
2019-04-18 17:03.29 START predict_per_district     region=Region(district_name='Skalica', region_name='Trnavský', area=357081962.0, geometry=<ee.geometry.Geometry object at 0x1039e4a58>)
2019-04-18 17:03.48 STOP predict_per_district      region=Region(district_name='Skalica', region_name='Trnavský', area=357081962.0, geometry=<ee.geometry.Geometry object at 0x1039e4a58>)
2019-04-18 17:03.48 START predict_per_district     region=Region(district_name='Trnava', region_name='Trnavský', area=741316337.0, geometry=<ee.geometry.Geometry object at 0x10fb78400>)
2019-04-18 17:04.18 STOP predict_per_district      region=Region(district_name='Trnava', region_name='Trnavský', area=741316337.0, geometry=<ee.geometry.Geometry object at 0x10fb78400>)
2019-04-18 17:04.18 START predict_per_district     region=Region(district_name='Bánovce nad Bebravou', region_name='Trenčiansky', area=461939077.0, geometry=<ee.geometry.Geometry object at 0x10fb789e8>)
2019-04-18 17:04.40 STOP predict_per_district      region=Region(district_name='Bánovce nad Bebravou', region_name='Trenčiansky', area=461939077.0, geometry=<ee.geometry.Geometry object at 0x10fb789e8>)
2019-04-18 17:04.40 START predict_per_district     region=Region(district_name='Ilava', region_name='Trenčiansky', area=358500865.0, geometry=<ee.geometry.Geometry object at 0x10fb78ac8>)
2019-04-18 17:05.05 STOP predict_per_district      region=Region(district_name='Ilava', region_name='Trenčiansky', area=358500865.0, geometry=<ee.geometry.Geometry object at 0x10fb78ac8>)
2019-04-18 17:05.05 START predict_per_district     region=Region(district_name='Myjava', region_name='Trenčiansky', area=327421905.0, geometry=<ee.geometry.Geometry object at 0x10fb78278>)
2019-04-18 17:05.22 STOP predict_per_district      region=Region(district_name='Myjava', region_name='Trenčiansky', area=327421905.0, geometry=<ee.geometry.Geometry object at 0x10fb78278>)
2019-04-18 17:05.22 START predict_per_district     region=Region(district_name='Nové Mesto nad Váhom', region_name='Trenčiansky', area=579985077.0, geometry=<ee.geometry.Geometry object at 0x10fb78550>)
2019-04-18 17:05.37 STOP predict_per_district      region=Region(district_name='Nové Mesto nad Váhom', region_name='Trenčiansky', area=579985077.0, geometry=<ee.geometry.Geometry object at 0x10fb78550>)
2019-04-18 17:05.37 START predict_per_district     region=Region(district_name='Partizánske', region_name='Trenčiansky', area=301012685.0, geometry=<ee.geometry.Geometry object at 0x10fb785f8>)
2019-04-18 17:05.53 STOP predict_per_district      region=Region(district_name='Partizánske', region_name='Trenčiansky', area=301012685.0, geometry=<ee.geometry.Geometry object at 0x10fb785f8>)
2019-04-18 17:05.53 START predict_per_district     region=Region(district_name='Považská Bystrica', region_name='Trenčiansky', area=463153880.0, geometry=<ee.geometry.Geometry object at 0x10fb786a0>)
2019-04-18 17:06.20 STOP predict_per_district      region=Region(district_name='Považská Bystrica', region_name='Trenčiansky', area=463153880.0, geometry=<ee.geometry.Geometry object at 0x10fb786a0>)
2019-04-18 17:06.20 START predict_per_district     region=Region(district_name='Prievidza', region_name='Trenčiansky', area=959869538.0, geometry=<ee.geometry.Geometry object at 0x10fb78748>)
